acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
Medical gas,In-House,Pharma & BioTech,,a0d3t00000komUMAAY,0033t00004OrFNOAA3,Recycled,Priority 2,Americas,Large,Quality,Qx,Email,2024-01-19
,,Non-Life Science,,a0d3t00000kom9IAAQ,0033t00004OrLJ8AAN,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-01-19
,,Pharma & BioTech,,a0d3t00000kokcLAAQ,0033t00004OrLKVAA3,Recycled,Priority 1,Americas,Large,Clinical,Qx,Direct/Inbound,2024-01-19
Lab Instruments,Original Equipment Manufacturing,Medical Device,,a0dPQ000000NVBBYA4,0033t00004OrM8fAAF,Recycled,Priority 2,EMEA,Small,Quality,Qx,Email,2024-02-22
Single-use disposables,In-House,Pharma & BioTech,VP of Operations,a0dPQ000000Df8bYAC,0033t00004OrM94AAF,Recycled,No Priority,Americas,Small,Qx,Qx,Online Ads,2024-01-30
,,Non-Life Science,,a0d3t00000ko6E7AAI,0033t00004OVJOCAA5,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-11
,,Pharma & BioTech,,a0d3t00000koEDYAA2,0033t00004OVKerAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-12
Live biotherapeutic products (LBP),In-House,Pharma & BioTech,,a0d3t00000koEEHAA2,0033t00004OVKfpAAH,Recycled,Priority 2,APAC & Oceania,Small,Mx,Mx,Email,2024-01-12
,,Pharma & BioTech,,a0d3t00000koEE2AAM,0033t00004OVKg4AAH,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-12
"Cell therapies (CAR-T, NK)",In-House,Non-Life Science,,a0d3t00000koEEWAA2,0033t00004OVKgOAAX,Recycled,Priority 2,APAC & Oceania,Small,Mx,Mx,Email,2024-01-12
Lab Instruments,In-House,Blood & Biologics,,a0d3t00000koEElAAM,0033t00004OVKh2AAH,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-12
,,Non-Life Science,,a0d3t00000kona4AAA,0033t00004OrNR7AAN,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-19
Medical cannabis formulation,In-House,Pharma & BioTech,Quality Manager.,a0d3t00000konSSAAY,0033t00004OrNzdAAF,SQL,Priority 1,Americas,Medium,Quality,Qx,SEO,2024-01-19
,,Non-Life Science,,a0dPQ000000AN4zYAG,0033t00004OrYuZAAV,Recycled,Priority 2,EMEA,Small,Qx,Qx,Online Ads,2024-01-22
Non-manufacturing organization,In-House,Medical Device,,a0d3t00000koEEgAAM,0033t00004OVKh7AAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-12
,,Pharma & BioTech,,a0d3t00000koEEMAA2,0033t00004OVKhbAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-12
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,,a0d3t00000koEERAA2,0033t00004OVKiAAAX,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-12
,,Pharma & BioTech,,a0d3t00000koAg9AAE,0033t00004OVSVCAA5,Recycled,Priority 1,EMEA,Other,Manufacturing,Mx,SEO,2024-01-11
,,Pharma & BioTech,,a0d3t00000koAf1AAE,0033t00004OVSWFAA5,Recycled,Priority 2,EMEA,Small,MISSING/BLANK,Qx,SEO,2024-01-11
,,Non-Life Science,,a0d3t00000koBoNAAU,0033t00004OVTsjAAH,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-01-11
,,Pharma & BioTech,,a0d3t00000koAvxAAE,0033t00004OVUDmAAP,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-01-11
,,Pharma & BioTech,,a0d3t00000koCREAA2,0033t00004OVVMMAA5,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-11
In-vitro diagnostic (IVD) kits,CDMO,Medical Device,,a0d3t00000koCROAA2,0033t00004OVWHSAA5,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-01-11
,,Non-Life Science,CEO,a0dPQ000000AEXxYAO,0033t00004OrcFpAAJ,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Directory Listing,2024-01-22
,,Non-Life Science,,a0dPQ000000AQVtYAO,0033t00004OrcpVAAR,Exclude,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-22
,,Non-Life Science,Solutions Engineer,a0dPQ000000ASizYAG,0033t00004OrecCAAR,SQO,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-22
Non-manufacturing organization,CRO,Pharma & BioTech,Head of Engineering,a0d3t00000koBJCAA2,0033t00004OVWt3AAH,Recycled,Priority 1,EMEA,Medium,MISSING/BLANK,Qx,SEO,2024-01-11
,,Non-Life Science,,a0d3t00000koBkQAAU,0033t00004OVY1RAAX,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-11
,,Non-Life Science,,a0d3t00000koBiFAAU,0033t00004OVZB9AAP,Recycled,Priority 1,Americas,Small,Quality,Qx,SEO,2024-01-11
Surgical instruments,In-House,Medical Device,Vice President,a0d3t00000koCCUAA2,0033t00004OVZfJAAX,Recycled,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-01-11
Non-manufacturing organization,In-House,Pharma & BioTech,Quality Governance Lead-Quality Governance and Organizational Strategy,a0d3t00000koCmJAAU,0033t00004OVdb5AAD,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-11
,,Medical Device,,a0d3t00000koCurAAE,0033t00004OVeE7AAL,Recycled,Priority 2,Americas,Medium,Quality,Qx,SEO,2024-01-11
Non-manufacturing organization,Testing Laboratory,Non-Life Science,,a0d3t00000kogsyAAA,0033t00004OVeSTAA1,SQO,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-18
Live biotherapeutic products (LBP),In-House,Pharma & BioTech,Quality Assurance Specialist,a0d3t00000koCrdAAE,0033t00004OVeVSAA1,SQL,Priority 1,Americas,Small,Quality,Qx,SEO,2024-01-11
Blood and Plasma-related products,In-House,Blood & Biologics,Compliance Specialist,a0d3t00000kohRHAAY,0033t00004OVkKCAA1,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-18
Small-molecule API,In-House,Pharma & BioTech,Vice President Head of Quality EMEA and Sweden Supply at AstraZeneca,a0d3t00000koQRuAAM,0033t00004OVkbRAAT,Recycled,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2024-01-15
Medical gas,Outsources Manufacturing,Medical Device,QA Manager,a0d3t00000koF8vAAE,0033t00004OVs5TAAT,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-01-12
,,Non-Life Science,Project Manager,a0dPQ000009DHttYAG,0033t00004OVtOlAAL,Recycled,P1 - Webinar Demo,EMEA,Small,Qx,Qx,Online Ads,2025-09-26
,,Non-Life Science,Solutions Architect,a0d3t00000koFMdAAM,0033t00004OVtcdAAD,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Directory Listing,2024-01-12
,,Non-Life Science,"Director, Advancement, Physi",a0d3t00000koHnCAAU,0033t00004OW27NAAT,Exclude,Priority 1,Americas,Large,Clinical,Qx,SEO,2024-01-12
Lateral-flow test strip,In-House,Medical Device,Quality System Manager,a0d3t00000kohfaAAA,0033t00004OW6dqAAD,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-01-18
,,Non-Life Science,,a0d3t00000koQMuAAM,0033t00004OW7tuAAD,Recycled,Priority 2,APAC & Oceania,Large,Qx,Qx,Online Ads,2024-01-15
,,Non-Life Science,,a0d3t00000kogNpAAI,0033t00004OW7zJAAT,Recycled,Priority 2,Americas,Small,Mx,Mx,Online Ads,2024-01-18
,,Medical Device,Technical Translator Proprietor,a0d3t00000koQPPAA2,0033t00004OWF01AAH,Exclude,Priority 2,EMEA,Small,Qx,Qx,Online Ads,2024-01-15
,,Non-Life Science,,a0d3t00000koQPtAAM,0033t00004OWMCXAA5,Recycled,Priority 2,EMEA,Small,Qx,Qx,Directory Listing,2024-01-15
,,Non-Life Science,,a0d3t00000koQMpAAM,0033t00004OWMPgAAP,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-01-15
,,Medical Device,,a0d3t00000koQQSAA2,0033t00004OWMbNAAX,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-15
,,Non-Life Science,"Supervisor, Quality Assurance",a0d3t00000koTXAAA2,0033t00004OWMorAAH,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-01-16
,,Pharma & BioTech,Quality Control Analyst,a0d3t00000koatEAAQ,0033t00004OWNjFAAX,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-17
,,Medical Device,,a0d3t00000koQPyAAM,0033t00004OWONbAAP,Recycled,Priority 2,EMEA,Medium,MISSING/BLANK,Qx,SEO,2024-01-15
,,Non-Life Science,,a0d3t00000koQN4AAM,0033t00004OWP5lAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Online Ads,2024-01-15
Not Enough Info Found,In-House,Non-Life Science,,a0d3t00000koQNJAA2,0033t00004OWPI7AAP,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-15
,,Non-Life Science,,a0d3t00000koQS4AAM,0033t00004OWR4lAAH,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-15
Nutraceutical manufacturing,In-House,Pharma & BioTech,CEO,a0d3t00000koQSEAA2,0033t00004OWRDnAAP,SQL,Priority 2,EMEA,Small,Mx,Mx,Online Ads,2024-01-15
,,Pharma & BioTech,,a0d3t00000koQTNAA2,0033t00004OWRTRAA5,Recycled,Priority 2,EMEA,Large,Qx,Qx,Online Ads,2024-01-15
,,Non-Life Science,,a0d3t00000koSzFAAU,0033t00004OWS0fAAH,Recycled,Priority 2,Americas,Small,Mx,Mx,Online Ads,2024-01-16
,,Non-Life Science,Manager Business Development,a0d3t00000koQUtAAM,0033t00004OWT6FAAX,Recycled,Priority 2,EMEA,Medium,MISSING/BLANK,Qx,SEO,2024-01-15
,,Non-Life Science,,a0d3t00000koTWRAA2,0033t00004OWVVgAAP,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-16
,,Pharma & BioTech,,a0d3t00000kohfkAAA,0033t00004OWXNXAA5,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-18
,,Pharma & BioTech,,a0d3t00000koSVJAA2,0033t00004OWaVDAA1,Exclude,Priority 1,Americas,Medium,Qx,Qx,Directory Listing,2024-01-16
,,Non-Life Science,,a0d3t00000koRoXAAU,0033t00004OWc9pAAD,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-16
Medical gas,In-House,Medical Device,,a0d3t00000koR1dAAE,0033t00004OWcl3AAD,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-16
Medical gas,In-House,Medical Device,,a0d3t00000koR1TAAU,0033t00004OWclDAAT,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-16
Not Enough Info Found,In-House,Pharma & BioTech,"Senior Manager, Quality Assurance, Manufacturing & Supply Chain Anz",a0d3t00000koUX5AAM,0033t00004OWclrAAD,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-16
,,Non-Life Science,,a0d3t00000koRowAAE,0033t00004OWcm6AAD,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-16
Vaccines,In-House,Pharma & BioTech,,a0d3t00000koUaoAAE,0033t00004OWcsOAAT,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-17
Not Enough Info Found,In-House,Non-Life Science,Information Technology Engineer,a0d3t00000koRp6AAE,0033t00004OWh7VAAT,SQL,Priority 2,APAC & Oceania,Medium,Qx,Qx,SEO,2024-01-16
,,Non-Life Science,"Training and Compliance Managing Director, Human Resources",a0d3t00000koS7LAAU,0033t00004OWhl6AAD,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-16
,,,"Manager, Quality Assurance",a0d3t00000koSsAAAU,0033t00004OWjU2AAL,SQL,Priority 1,,,Qx,Qx,Directory Listing,2024-01-16
,,Pharma & BioTech,,a0d3t00000koVcNAAU,0033t00004OWkKwAAL,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,SEO,2024-01-17
,,Pharma & BioTech,,a0d3t00000koTdgAAE,0033t00004OWtRjAAL,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-16
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,Senior Vice President Head of Regulatory Affairs and Quality,a0dPQ000002EHSrYAO,0033t00004OWwV2AAL,Recycled,Priority 2,Americas,Medium,Platform,Qx,External Demand Gen,2024-11-11
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,"Director, Therapeutic Area Quality Lead Clinical Development and Quality Operations and Research and Development Quality",a0d3t00000koVc3AAE,0033t00004OX0TWAA1,Recycled,Priority 2,EMEA,Large,Qx,Qx,External Demand Gen,2024-01-17
,,Non-Life Science,,a0d3t00000koUdTAAU,0033t00004OX0bKAAT,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-01-17
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,"Manager, Academic Labs (Tri-Campus)",a0d3t00000koUeHAAU,0033t00004OX0cSAAT,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-17
,,Pharma & BioTech,,a0d3t00000koX8jAAE,0033t00004OX0eTAAT,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-17
,,Non-Life Science,,a0d3t00000koYBFAA2,0033t00004OX0esAAD,Exclude,Priority 1,Americas,Small,Mx,Mx,Directory Listing,2024-01-17
Not Enough Info Found,In-House,Non-Life Science,CIO,a0d3t00000koVccAAE,0033t00004OX0fCAAT,SQL,Priority 1,APAC & Oceania,Medium,Manufacturing,Mx,SEO,2024-01-17
,,Pharma & BioTech,"National Quality Director, Nursing",a0d3t00000koXAGAA2,0033t00004OX0pHAAT,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-17
Sterile injectables,CDMO,Pharma & BioTech,QA Auditor,a0d3t00000koh17AAA,0033t00004OX1HCAA1,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
,,Non-Life Science,,a0d3t00000koVcrAAE,0033t00004OX1efAAD,Recycled,Priority 2,APAC & Oceania,Large,Qx,Qx,Online Ads,2024-01-17
Vaccines,In-House,Pharma & BioTech,,a0d3t00000kobXgAAI,0033t00004OX2HgAAL,Exclude,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-18
,,Non-Life Science,,a0dPQ000000BsmfYAC,0033x00002yGsJGAA0,Exclude,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25
Non-manufacturing organization,CRO,Pharma & BioTech,Quality Manager,a0dPQ000001VTZpYAO,0033x00002yGsbfAAC,Recycled,Priority 1,Americas,Large,Qx,Qx,External Demand Gen,2024-08-21
,,Pharma & BioTech,,a0d3t00000kobWsAAI,0033t00004OX2HqAAL,Exclude,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-18
Peptide synthesis,In-House,Non-Life Science,Biologicals Coe Analytics Technology Lead,a0d3t00000kobXMAAY,0033t00004OX2I0AAL,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Email,2024-01-18
Vaccines,In-House,Pharma & BioTech,,a0d3t00000kobWnAAI,0033t00004OX2I5AAL,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-18
"Viral vector manufacturing (AAV, LV)",CDMO,Non-Life Science,Manufacturing Support,a0d3t00000kobOmAAI,0033t00004OX2IeAAL,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-01-18
,,Non-Life Science,Digital Transformation Manager,a0d3t00000koVcSAAU,0033t00004OX8FSAA1,Recycled,Priority 2,EMEA,Large,Qx,Qx,Online Ads,2024-01-17
,,Non-Life Science,,a0d3t00000koVgKAAU,0033t00004OX8O5AAL,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-17
Oral solid dosage (OSD),In-House,Pharma & BioTech,"Director, Quality Control",a0d3t00000koaL0AAI,0033t00004OX8QGAA1,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-17
,,Non-Life Science,Senior Paving Coordinator,a0d3t00000kohcqAAA,0033t00004OX9s1AAD,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
Imaging systems,In-House,Pharma & BioTech,"Director, Information Technology",a0d3t00000koXNFAA2,0033t00004OXCMuAAP,SQL,Priority 1,Americas,Medium,Manufacturing,Mx,SEO,2024-01-17
Imaging systems,In-House,Pharma & BioTech,"Director, Information Technology",a0dPQ000003eilNYAQ,0033t00004OXCMuAAP,SQL,P1 - Contact Us,Americas,Medium,Manufacturing,Mx,SEO,2025-02-24
Food and beverage,In-House,Non-Life Science,Engineering Intern,a0d3t00000koXu6AAE,0033t00004OXCNTAA5,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-17
,,Non-Life Science,"Director, Communications Spareroom",a0d3t00000kocYqAAI,0033t00004OXEwpAAH,Recycled,Priority 2,EMEA,Medium,Qx,Qx,SEO,2024-01-18
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,Lead Product Designer,a0d3t00000kohRbAAI,0033t00004OXGfOAAX,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2024-01-18
Specialty Chemical Manufacturing,In-House,Non-Life Science,"Director, Information Technology and Manager, Data",a0d3t00000kob4CAAQ,0033t00004OXGfTAAX,SQL,Priority 2,Americas,Medium,Mx,Mx,Online Ads,2024-01-17
Oral solid dosage (OSD),In-House,Pharma & BioTech,Asst manager in production,a0d3t00000kobazAAA,0033t00004OXI4yAAH,SQL,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-18
Oral solid dosage (OSD),In-House,Pharma & BioTech,,a0d3t00000kobdUAAQ,0033t00004OXI5NAAX,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-18
,,Pharma & BioTech,,a0d3t00000kohZIAAY,0033t00004OXI5SAAX,Exclude,Priority 2,Americas,Small,Mx,Mx,Email,2024-01-18
,,Pharma & BioTech,,a0d3t00000kogZcAAI,0033t00004OXI5XAAX,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2024-01-18
,,Pharma & BioTech,,a0dPQ000000REZxYAO,0033t00004OXI5XAAX,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-29
,,Pharma & BioTech,Regulatory Affairs Executive,a0d3t00000kobdFAAQ,0033t00004OXI5cAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-18
,,Pharma & BioTech,Regulatory Affairs Executive,a0dPQ000000NKUHYA4,0033t00004OXI5cAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-02-22
,,Pharma & BioTech,Regulatory Affairs Executive,a0dPQ000001xhefYAA,0033t00004OXI5cAAH,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Email,2024-10-10
,,Pharma & BioTech,Regulatory Affairs Executive,a0dPQ000002Lg9ZYAS,0033t00004OXI5cAAH,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-11-22
Non-manufacturing organization,Not Enough Info Found,Non-Life Science,"Senior Staff, Manufacturing Sciences Scientist",a0d3t00000koZk7AAE,0033t00004OXI5wAAH,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-01-17
,,Non-Life Science,Principal,a0d3t00000kobAuAAI,0033t00004OXJP4AAP,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-01-17
,,Non-Life Science,Project Specialist,a0d3t00000kod8lAAA,0033t00004OXJPJAA5,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-01-18
,,Non-Life Science,Project Specialist,a0dPQ000001GSJ7YAO,0033t00004OXJPJAA5,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-07-19
Generics manufacturing,In-House,Pharma & BioTech,,a0d3t00000kobdZAAQ,0033t00004OXJT6AAP,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Email,2024-01-18
Non-manufacturing organization,Not Enough Info Found,Pharma & BioTech,"Inspection Manager - Africa, Middle East, Asia Pacific",a0d3t00000kocYWAAY,0033x00002yGtJhAAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-18
"Cell therapies (CAR-T, NK)",In-House,Pharma & BioTech,"QA Shop Floor Specialist, CTDO",a0d3t00000koaRWAAY,0033t00004OXKWaAAP,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-17
,,Non-Life Science,Production Assistant,a0d3t00000koap7AAA,0033t00004OXMUrAAP,Recycled,Priority 2,Americas,Small,Mx,Mx,Online Ads,2024-01-17
,,Non-Life Science,,a0d3t00000kohh7AAA,0033t00004OYCC0AAP,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
,,Medical Device,,a0d3t00000kodxZAAQ,0033t00004OYQy3AAH,Recycled,Priority 2,Americas,Small,Quality,Qx,SEO,2024-01-18
Surgical instruments,In-House,Medical Device,Quality Assurance Quality Control,a0d3t00000kodnxAAA,0033t00004OqXayAAF,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
,,Non-Life Science,,a0d3t00000kocyuAAA,0033t00004OqXmkAAF,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
Vaccines,In-House,Pharma & BioTech,,a0d3t00000koi2UAAQ,0033t00004OqdBfAAJ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
Vaccines,In-House,Pharma & BioTech,,a0d3t00000koi33AAA,0033t00004OqdC9AAJ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
Combination products,In-House,Medical Device,,a0d3t00000koi2eAAA,0033t00004OqdCTAAZ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
Blood and Plasma-related products,In-House,Blood & Biologics,,a0d3t00000koi2yAAA,0033t00004OqdCnAAJ,Recycled,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-19
,,Pharma & BioTech,"Director, Veterinary Medicines Registration, Manufacturing Quality and Licensing",a0d3t00000kohuyAAA,0033t00004OqdDnAAJ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
Nutraceutical manufacturing,In-House,Pharma & BioTech,,a0d3t00000koi2ZAAQ,0033t00004OqdE5AAJ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
,,Pharma & BioTech,,a0d3t00000koi2oAAA,0033t00004OqdEAAAZ,Exclude,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
,,Pharma & BioTech,,a0d3t00000koi3mAAA,0033t00004OqdEUAAZ,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-01-19
Lab Instruments,Not Enough Info Found,Pharma & BioTech,,a0d3t00000koi3hAAA,0033t00004OqdFhAAJ,Exclude,Priority 2,APAC & Oceania,Large,Mx,Mx,Email,2024-01-19
,,Non-Life Science,,a0d3t00000kohm2AAA,0033t00004Oqe7AAAR,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Directory Listing,2024-01-19
,,Non-Life Science,"Manager, Environment, Health and Safety",a0d3t00000kocZFAAY,0033t00004OqlGxAAJ,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-18
,,Pharma & BioTech,,a0d3t00000kocZUAAY,0033t00004OqlmPAAR,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-01-18
,,Non-Life Science,,a0d3t00000kodpDAAQ,0033t00004OqnTKAAZ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
,,Non-Life Science,,a0d3t00000kodvxAAA,0033t00004OqpzSAAR,Recycled,Priority 1,Americas,Small,Product Development,Qx,SEO,2024-01-18
Diagnostic Equipment,In-House,Medical Device,Manufacturing Technician,a0dPQ000000FA77YAG,0033t00004Oqq0pAAB,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,Online Ads,2024-02-02
,,Non-Life Science,,a0dPQ000000BvEHYA0,0033t00004Oqq3AAAR,Recycled,No Priority,Americas,Small,Qx,Qx,Online Ads,2024-01-25
,,Medical Device,Med-Technology Business Developer,a0dPQ000002AZRZYA4,0033t00004Oqq4DAAR,Recycled,Priority 2,EMEA,Small,Mx,Mx,Email,2024-11-05
,,Medical Device,Med-Technology Business Developer,a0dPQ000002XXyXYAW,0033t00004Oqq4DAAR,Recycled,Priority 2,EMEA,Small,Platform,Qx,Email,2024-12-16
,,Non-Life Science,Project Manager,a0dPQ000000ZF5pYAG,0033t00004Oqq72AAB,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-03-22
,,Non-Life Science,Project Manager,a0dPQ000000mbBlYAI,0033t00004Oqq72AAB,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-04-30
,,Non-Life Science,Project Manager,a0dPQ00000141kvYAA,0033t00004Oqq72AAB,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-06-18
,,Non-Life Science,Project Manager,a0dPQ000002Vki9YAC,0033t00004Oqq72AAB,Recycled,P1 - Webinar Demo,Americas,Medium,Qx,Qx,Email,2024-12-11
Surgical instruments,CMO,Medical Device,,a0dPQ000000G1RZYA0,0033t00004Oqq9IAAR,Exclude,No Priority,Americas,Medium,Qx,Qx,Online Ads,2024-02-05
,,Non-Life Science,,a0d3t00000kohKvAAI,0033t00004OqwJbAAJ,Recycled,Priority 2,Americas,Small,Mx,Mx,Online Ads,2024-01-18
Not Enough Info Found,In-House,Pharma & BioTech,Quality and R&D Specialist.,a0d3t00000kohSeAAI,0033t00004OqwpDAAR,SQL,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
Advanced additive manufacturing,Research Institute,Medical Device,Lecturer,a0d3t00000koi59AAA,0033t00004Or2nrAAB,SQL,Priority 2,APAC & Oceania,Medium,MISSING/BLANK,Qx,SEO,2024-01-19
,,Medical Device,,a0d3t00000koiuuAAA,0033t00004Or3YnAAJ,Exclude,Priority 2,APAC & Oceania,Medium,Qx,Qx,SEO,2024-01-19
,,Pharma & BioTech,,a0d3t00000koivEAAQ,0033t00004Or3bwAAB,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,SEO,2024-01-19
,,Pharma & BioTech,,a0d3t00000koiv4AAA,0033t00004Or3cfAAB,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,SEO,2024-01-19
PCR / molecular diagnostics,In-House,Medical Device,,a0d3t00000koivOAAQ,0033t00004Or3f0AAB,Recycled,Priority 2,APAC & Oceania,Small,MISSING/BLANK,Qx,SEO,2024-01-19
Imaging systems,In-House,Non-Life Science,Production Lead Engineer,a0dPQ000000AMH0YAO,0033t00004OrDHnAAN,Recycled,Priority 2,EMEA,Small,Qx,Qx,Online Ads,2024-01-22
Specialty Chemical Manufacturing,In-House,Non-Life Science,"Engineer III, Chemical",a0d3t00000kol8WAAQ,0033t00004OrDPwAAN,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-01-19
