qal_id,contact_lead_id,is_success,outcome_tier,next_stage__c,product_segment,solution_rollup,acct_target_industry,acct_manufacturing_model,acct_primary_site_function,acct_territory_rollup,acct_tier_rollup,contact_lead_title,title_seniority,title_function,title_scope,is_decision_maker,record_completeness,completeness_tier,priority,last_tactic_campaign_channel,cohort_date,cohort_year,cohort_quarter,lead_age_days
a0d3t00000knVBGAA2,0033t00004OBqQoAAL,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-03,2024,2024Q1,733
a0d3t00000knSMuAAM,0033t00004OBrH1AAL,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-03,2024,2024Q1,733
a0d3t00000knRhSAAU,0033t00004OBrdyAAD,0,Lost,Exclude,Qx,Qx,Non-Life Science,CRO,Non-manufacturing organization,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,1.0,High,No Priority,Direct/Inbound,2024-01-03,2024,2024Q1,733
a0d3t00000knSNsAAM,0033t00004OBxXAAA1,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,EMEA,Medium,Regional Compliance Leader,Other,Quality,Regional,0,0.6,Medium,Priority 2,SEO,2024-01-03,2024,2024Q1,733
a0d3t00000knSOWAA2,0033t00004OBxwwAAD,0,Lost,Exclude,Qx,Qx,Blood & Biologics,CDMO,Monoclonal antibodies (mAbs),EMEA,Medium,Validation Supervisor,Manager,Quality,Standard,0,1.0,High,Priority 2,Online Ads,2024-01-03,2024,2024Q1,733
a0d3t00000knU8GAAU,0033t00004OC190AAD,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Small,Principal,Other,Other,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-01-03,2024,2024Q1,733
a0d3t00000knV9PAAU,0033t00004OC1U8AAL,1,Success,SQL,Mx,Mx,Non-Life Science,In-House,Not Enough Info Found,Americas,Medium,Director of Plant Operations,Director,Mfg/Ops,Site,1,1.0,High,Priority 1,Directory Listing,2024-01-03,2024,2024Q1,733
a0d3t00000knVYFAA2,0033t00004OC7evAAD,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,Americas,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Directory Listing,2024-01-03,2024,2024Q1,733
a0d3t00000knVxeAAE,0033t00004OC9PjAAL,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-03,2024,2024Q1,733
a0d3t00000knW83AAE,0033t00004OCCNeAAP,1,Success,SQL,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,Americas,Medium,QA Specialist,IC,Quality,Standard,0,1.0,High,Priority 1,Online Ads,2024-01-03,2024,2024Q1,733
a0d3t00000knWKaAAM,0033t00004OCCubAAH,1,Success,SQL,Qx,Qx,Pharma & BioTech,Services / Consulting,Non-manufacturing organization,APAC & Oceania,Large,Quality Manager,Manager,Quality,Standard,0,1.0,High,Priority 1,SEO,2024-01-03,2024,2024Q1,733
a0d3t00000knXvtAAE,0033t00004OCDWEAA5,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0d3t00000knakCAAQ,0033t00004OCDpqAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,Senior Structural Engineer,IC,Other,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0d3t00000knXNuAAM,0033t00004OCN1jAAH,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Unknown,Unknown,EMEA,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0d3t00000knXJOAA2,0033t00004OCN6oAAH,0,Lost,Exclude,Qx,Qx,Non-Life Science,Unknown,Unknown,EMEA,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,SEO,2024-01-04,2024,2024Q1,732
a0d3t00000knZW3AAM,0033t00004OCPpqAAH,1,Success,SQL,Qx,Qx,Non-Life Science,Not Enough Info Found,Non-manufacturing organization,Americas,Large,Chief Quality Auditing Specialist,C-Suite,Quality,Standard,1,1.0,High,Priority 1,SEO,2024-01-04,2024,2024Q1,732
a0d3t00000knYLrAAM,0033t00004OCQFfAAP,1,Success,SQL,Qx,Qx,Non-Life Science,In-House,Non-manufacturing organization,Americas,Medium,Quality Lead.,Manager,Quality,Standard,0,1.0,High,Priority 1,Online Ads,2024-01-04,2024,2024Q1,732
a0dPQ000000KFVxYAO,0033t00004OCSe9AAH,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Single-use disposables,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-02-15,2024,2024Q1,690
a0dPQ000000gKaDYAU,0033t00004OCSe9AAH,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Single-use disposables,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-04-12,2024,2024Q2,633
a0dPQ0000036w9GYAQ,0033t00004OCSe9AAH,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Single-use disposables,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2025-02-03,2025,2025Q1,336
a0dPQ000000T7kTYAS,0033t00004OCSgnAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,No Priority,Online Ads,2024-03-06,2024,2024Q1,670
a0d3t00000kncXMAAY,0033t00004OCTl9AAH,1,Success,SQL,Qx,Qx,Non-Life Science,CMO,Not Enough Info Found,EMEA,Medium,Director of ICT,Director,Other,Standard,1,1.0,High,Priority 1,Directory Listing,2024-01-05,2024,2024Q1,731
a0d3t00000knaUXAAY,0033t00004OCUJLAA5,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Unknown,Unknown,Americas,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0dPQ000000EGOHYA4,0033t00004OCUJLAA5,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Unknown,Unknown,Americas,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Email,2024-01-31,2024,2024Q1,705
a0d3t00000knarnAAA,0033t00004OCWt2AAH,1,Success,SQO,Qx,Qx,Non-Life Science,Original Equipment Manufacturing,Not Enough Info Found,Americas,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0d3t00000kncszAAA,0033t00004OCXQ0AAP,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,Corporate QA Manager,Manager,Quality,Global,0,0.6,Medium,Priority 2,Directory Listing,2024-01-05,2024,2024Q1,731
a0dPQ000002lHFZYA2,0033t00004OCXfqAAH,0,Near-Miss,Recycled,Qx,Qx,Medical Device,CDMO,Implantable devices,Americas,Medium,"Manager, Production",Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Directory Listing,2025-01-15,2025,2025Q1,355
a0d3t00000knayaAAA,0033t00004OCXvxAAH,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-04,2024,2024Q1,732
a0d3t00000kneVcAAI,0033t00004OCcTUAA1,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Not Enough Info Found,Americas,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Online Ads,2024-01-05,2024,2024Q1,731
a0d3t00000kncUhAAI,0033t00004OCePbAAL,1,Success,SQL,Qx,Qx,Medical Device,Services / Consulting,Non-manufacturing organization,APAC & Oceania,Small,Principal Consultant,Other,Other,Standard,0,1.0,High,Priority 2,Online Ads,2024-01-05,2024,2024Q1,731
a0d3t00000koQQrAAM,0033t00004OCmSVAA1,1,Success,SQL,Qx,Qx,Non-Life Science,In-House,Wearable health monitors,EMEA,Medium,Head of Quality,Director,Quality,Standard,1,1.0,High,No Priority,SEO,2024-01-15,2024,2024Q1,721
a0d3t00000knebdAAA,0033t00004OCmuaAAD,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-05,2024,2024Q1,731
a0d3t00000kneNJAAY,0033t00004OCoODAA1,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,EMEA,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-05,2024,2024Q1,731
a0d3t00000kneW1AAI,0033t00004OCrkWAAT,0,Lost,Exclude,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-05,2024,2024Q1,731
a0d3t00000kntZ9AAI,0033t00004OCsP5AAL,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-09,2024,2024Q1,727
a0d3t00000knf3cAAA,0033t00004OCyEAAA1,0,Near-Miss,Recycled,Qx,Qx,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,0,0.0,Low,Priority 2,Directory Listing,2024-01-05,2024,2024Q1,731
a0d3t00000knfCaAAI,0033t00004OCyx5AAD,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-05,2024,2024Q1,731
a0d3t00000knta7AAA,0033t00004OD0EZAA1,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Implantable devices,Americas,Medium,"Senior Manager, Corporate Quality & Regulatory",Manager,Quality,Global,0,1.0,High,No Priority,Outbound Prospecting,2024-01-09,2024,2024Q1,727
a0d3t00000knk4xAAA,0033t00004OD1U7AAL,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-07,2024,2024Q1,729
a0d3t00000knkwbAAA,0033t00004OD9cBAAT,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,SEO,2024-01-08,2024,2024Q1,728
a0d3t00000knlm3AAA,0033t00004ODA7AAAX,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,Americas,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knn9BAAQ,0033t00004ODCkVAAX,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-08,2024,2024Q1,728
a0d3t00000knkwgAAA,0033t00004ODDoEAAX,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Single-use disposables,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knkyNAAQ,0033t00004ODHM1AAP,0,Lost,Exclude,Qx,Qx,Non-Life Science,Unknown,Unknown,EMEA,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Directory Listing,2024-01-08,2024,2024Q1,728
a0d3t00000knliaAAA,0033t00004ODIZCAA5,0,Near-Miss,Recycled,Qx,Qx,Unknown,In-House,Non-manufacturing organization,Americas,Medium,Capture Manager,Manager,Other,Standard,0,0.8,Medium,Priority 2,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knmNoAAI,0033t00004ODJ7zAAH,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Direct/Inbound,2024-01-08,2024,2024Q1,728
a0d3t00000knlOzAAI,0033t00004ODKSUAA5,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,SEO,2024-01-08,2024,2024Q1,728
a0d3t00000knvyKAAQ,0033t00004ODKxzAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-10,2024,2024Q1,726
a0d3t00000knlMKAAY,0033t00004ODNs5AAH,1,Success,SQL,Mx,Mx,Non-Life Science,In-House,Food and beverage,Americas,Small,Quality Assurance / Food Safety Manager,Manager,Quality,Standard,0,1.0,High,Priority 1,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knmj8AAA,0033t00004ODP3iAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Other,Quality Manager,Manager,Quality,Standard,0,0.6,Medium,Priority 1,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knliuAAA,0033t00004ODPSxAAP,1,Success,SQL,Qx,Qx,Non-Life Science,In-House,Specialty Chemical Manufacturing,Americas,Medium,Quality Control Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knlcSAAQ,0033t00004ODQ06AAH,1,Success,SQL,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Small,Director of Op and Interim Quality Guy,Director,Quality,Standard,1,1.0,High,Priority 1,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knmXMAAY,0033t00004OUG3mAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knmVQAAY,0033t00004OUGcmAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 1,Online Ads,2024-01-08,2024,2024Q1,728
a0dPQ000005fmlpYAA,0033t00004OUHlBAAX,0,Near-Miss,Recycled,Mx,Mx,Blood & Biologics,In-House,Wound Care,Americas,Small,Facilities Manager,Manager,Other,Standard,0,1.0,High,Priority 2,Direct/Inbound,2025-06-19,2025,2025Q2,200
a0d3t00000knnKmAAI,0033t00004OUJw0AAH,0,Lost,Exclude,Mx,Mx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 1,Online Ads,2024-01-08,2024,2024Q1,728
a0d3t00000knoXSAAY,0033t00004OUJw5AAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Small,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 1,Online Ads,2024-01-09,2024,2024Q1,727
a0d3t00000knqJiAAI,0033t00004OULNMAA5,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Small,"Manager, Business Process",Manager,Other,Standard,0,0.6,Medium,Priority 2,Email,2024-01-09,2024,2024Q1,727
a0d3t00000knqIkAAI,0033t00004OULq8AAH,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-09,2024,2024Q1,727
a0d3t00000knwIdAAI,0033t00004OURVNAA5,0,Near-Miss,Recycled,Mx,Mx,Medical Device,Not Enough Info Found,Non-manufacturing organization,APAC & Oceania,Small,"General Manager, Customer Solutions and Operations",Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwOSAAY,0033t00004OURVcAAP,0,Near-Miss,Recycled,Mx,Mx,Medical Device,Not Enough Info Found,Topical emulsion/cream,APAC & Oceania,Small,"Manager, Supply Chain Operations",Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knw9kAAA,0033t00004OURVhAAP,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Implantable devices,Americas,Medium,"Manager, Operations",Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwQxAAI,0033t00004OURVrAAP,0,Lost,Exclude,Mx,Mx,Medical Device,Distribution / Wholesale,Non-manufacturing organization,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwRRAAY,0033t00004OURWVAA5,0,Near-Miss,Recycled,Mx,Mx,Medical Device,Unknown,Unknown,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwJHAAY,0033t00004OURWzAAP,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Unknown,Unknown,APAC & Oceania,Small,Sales Analyst,IC,Other,Standard,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwRWAAY,0033t00004OURX4AAP,1,Success,SQO,Mx,Mx,Medical Device,Unknown,Unknown,Americas,Small,"Manager, Office Operations Aus & Nz",Manager,Mfg/Ops,Standard,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwQOAAY,0033t00004OURXOAA5,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Small,"Manager, Operations",Manager,Mfg/Ops,Standard,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwRbAAI,0033t00004OURXdAAP,0,Lost,Exclude,Mx,Mx,Pharma & BioTech,Unknown,Unknown,APAC & Oceania,Medium,Volunteer Responder,Other,Other,Standard,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knxBQAAY,0033t00004OUYQtAAP,0,Near-Miss,Recycled,Qx,Qx,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,0,0.0,Low,Priority 2,SEO,2024-01-10,2024,2024Q1,726
a0dPQ0000010nWPYAY,0033t00004OUYQtAAP,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Single-use disposables,APAC & Oceania,Small,,Unknown,Unknown,Unknown,0,1.0,High,Priority 1,SEO,2024-06-10,2024,2024Q2,574
a0d3t00000knodzAAA,0033t00004OUYWSAA5,1,Success,SQL,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,EMEA,Medium,QHSE Manager,Manager,Other,Standard,0,1.0,High,Priority 1,SEO,2024-01-09,2024,2024Q1,727
a0d3t00000knoeTAAQ,0033t00004OUYsnAAH,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Unknown,Unknown,EMEA,Medium,Consultant,Other,Other,Standard,0,0.6,Medium,Priority 1,Direct/Inbound,2024-01-09,2024,2024Q1,727
a0dPQ000005oDiMYAU,0033t00004OB59jAAD,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Radiopharmaceuticals,Americas,Medium,Director of Operations,Director,Mfg/Ops,Standard,1,1.0,High,Priority 2,External Demand Gen,2025-06-24,2025,2025Q2,195
a0d3t00000knp2VAAQ,0033t00004OUaAEAA1,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Oral solid dosage (OSD),EMEA,Medium,Assistant Manager,Manager,Other,Standard,0,1.0,High,Priority 2,SEO,2024-01-09,2024,2024Q1,727
a0d3t00000knsQxAAI,0033t00004OUb8EAAT,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Other,Production Manager,Manager,Mfg/Ops,Standard,0,0.6,Medium,Priority 2,Directory Listing,2024-01-09,2024,2024Q1,727
a0d3t00000knrPrAAI,0033t00004OUdsVAAT,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,SEO,2024-01-09,2024,2024Q1,727
a0d3t00000knrIIAAY,0033t00004OUdwSAAT,0,Lost,,Qx,Qx,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,0,0.0,Low,Priority 2,Email,2024-01-09,2024,2024Q1,727
a0dPQ000000wIB3YAM,0033t00004OUdwSAAT,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CRO,Non-manufacturing organization,Americas,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 1,Email,2024-05-28,2024,2024Q2,587
a0d3t00000knOaCAAU,0033t00004OBEZpAAP,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-01,2024,2024Q1,735
a0d3t00000knPvcAAE,0033t00004OBJ4cAAH,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,EMEA,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Direct/Inbound,2024-01-02,2024,2024Q1,734
a0d3t00000knQTgAAM,0033t00004OBKtHAAX,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Other,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 1,Online Ads,2024-01-02,2024,2024Q1,734
a0d3t00000knvrwAAA,0033t00004OUpZTAA1,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Distribution / Wholesale,Non-manufacturing organization,Americas,Small,Microscopy & Imaging Specialist,IC,Other,Standard,0,1.0,High,Priority 1,Online Ads,2024-01-09,2024,2024Q1,727
a0dPQ00000FQj92YAD,0033t00004OUqFpAAL,0,Lost,,Qx,Qx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,"Senior Manager, Technical Operations",Manager,Mfg/Ops,Standard,0,0.6,Medium,No Priority,Outbound Prospecting,2025-12-29,2025,2025Q4,7
a0d3t00000knxBaAAI,0033t00004OUqj6AAD,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-10,2024,2024Q1,726
a0d3t00000knQGLAA2,0033t00004OBLEVAA5,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 1,Online Ads,2024-01-02,2024,2024Q1,734
a0d3t00000knWLTAA2,0033t00004OBNlxAAH,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Nutraceutical manufacturing,EMEA,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,SEO,2024-01-03,2024,2024Q1,733
a0d3t00000knQS4AAM,0033t00004OBS46AAH,1,Success,SQL,Qx,Qx,Medical Device,Not Enough Info Found,Non-manufacturing organization,Americas,Small,Head of RA,Director,Other,Standard,1,1.0,High,Priority 1,SEO,2024-01-02,2024,2024Q1,734
a0d3t00000knQADAA2,0033t00004OBSwCAAX,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,Managing Member,Other,Other,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-01-02,2024,2024Q1,734
a0dPQ000000MNyrYAG,0033t00004OBSwCAAX,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,Managing Member,Other,Other,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-02-20,2024,2024Q1,685
a0d3t00000knQ9AAAU,0033t00004OBTsSAAX,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Unknown,Unknown,Americas,Medium,Biopharmaceutical Quality Control.,Other,Quality,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-01-02,2024,2024Q1,734
a0d3t00000knQTHAA2,0033t00004OBUxZAAX,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Non-manufacturing organization,Americas,Small,Office Manager,Manager,Other,Standard,0,1.0,High,Priority 2,Direct/Inbound,2024-01-02,2024,2024Q1,734
a0d3t00000knyqQAAQ,0033t00004OUrRsAAL,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Unknown,Unknown,Americas,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,SEO,2024-01-10,2024,2024Q1,726
a0d3t00000ko1WVAAY,0033t00004OUrhRAAT,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,Unknown,Unknown,Americas,Medium,Senior Safety Analyst,IC,Other,Standard,0,0.6,Medium,Priority 2,Online Ads,2024-01-10,2024,2024Q1,726
a0d3t00000knwXBAAY,0033t00004OUtYuAAL,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Unknown,Unknown,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwX6AAI,0033t00004OUtZYAA1,0,Lost,Exclude,Mx,Mx,Pharma & BioTech,Not Enough Info Found,Biologic API,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwX1AAI,0033t00004OUtaHAAT,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Lab Instruments,APAC & Oceania,Medium,"Manager, Facility Operations",Manager,Mfg/Ops,Site,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwWIAAY,0033t00004OUtc6AAD,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Diagnostic Equipment,APAC & Oceania,Small,Industrial Manufacturing Engineer,IC,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwXLAAY,0033t00004OUtc8AAD,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Not Enough Info Found,Non-manufacturing organization,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwXVAAY,0033t00004OUtcyAAD,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Combination products,APAC & Oceania,Large,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000knwXQAAY,0033t00004OUtedAAD,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Diagnostic Equipment,EMEA,Medium,Director of Global Technical Training & Operations,Director,Mfg/Ops,Global,1,1.0,High,Priority 2,Email,2024-01-10,2024,2024Q1,726
a0d3t00000koAn5AAE,0033t00004OUuDcAAL,0,Lost,Exclude,Qx,Qx,Pharma & BioTech,Unknown,Unknown,EMEA,Large,,Unknown,Unknown,Unknown,0,0.6,Medium,Priority 2,Online Ads,2024-01-11,2024,2024Q1,725
